time,open,high,low,close
2025-07-11T13:00:00.000000000Z,1.16886,1.16909,1.16874,1.16878
2025-07-11T13:05:00.000000000Z,1.16878,1.16898,1.16866,1.16878
2025-07-11T13:10:00.000000000Z,1.16878,1.16901,1.16868,1.16896
2025-07-11T13:15:00.000000000Z,1.16896,1.16896,1.16862,1.16883
2025-07-11T13:20:00.000000000Z,1.16882,1.16951,1.1687,1.1695
2025-07-11T13:25:00.000000000Z,1.16949,1.1697,1.16938,1.1695
2025-07-11T13:30:00.000000000Z,1.1695,1.16964,1.1691,1.16952
2025-07-11T13:35:00.000000000Z,1.16951,1.17038,1.16914,1.17036
2025-07-11T13:40:00.000000000Z,1.1704,1.17142,1.17018,1.17028
2025-07-11T13:45:00.000000000Z,1.1703,1.1703,1.16948,1.16958
2025-07-11T13:50:00.000000000Z,1.16958,1.16984,1.16923,1.16925
2025-07-11T13:55:00.000000000Z,1.16924,1.16929,1.16886,1.16888
2025-07-11T14:00:00.000000000Z,1.16886,1.16898,1.16856,1.1689
2025-07-11T14:05:00.000000000Z,1.16889,1.16909,1.1686,1.1687
2025-07-11T14:10:00.000000000Z,1.16872,1.1689,1.16838,1.16838
2025-07-11T14:15:00.000000000Z,1.1684,1.1684,1.16742,1.16774
2025-07-11T14:20:00.000000000Z,1.16774,1.16836,1.16767,1.16802
2025-07-11T14:25:00.000000000Z,1.16801,1.16826,1.16794,1.16816
2025-07-11T14:30:00.000000000Z,1.16816,1.16898,1.16812,1.16893
2025-07-11T14:35:00.000000000Z,1.16892,1.16902,1.16863,1.16866
2025-07-11T14:40:00.000000000Z,1.16865,1.16889,1.16846,1.16871
2025-07-11T14:45:00.000000000Z,1.1687,1.16907,1.16834,1.169
2025-07-11T14:50:00.000000000Z,1.16901,1.16924,1.16864,1.16922
2025-07-11T14:55:00.000000000Z,1.16924,1.16944,1.16912,1.16922
2025-07-11T15:00:00.000000000Z,1.16921,1.16942,1.16892,1.1692
2025-07-11T15:05:00.000000000Z,1.16919,1.16952,1.16914,1.16952
2025-07-11T15:10:00.000000000Z,1.16951,1.16956,1.16936,1.16945
2025-07-11T15:15:00.000000000Z,1.16946,1.16955,1.16909,1.1694
2025-07-11T15:20:00.000000000Z,1.1694,1.16977,1.16934,1.16944
2025-07-11T15:25:00.000000000Z,1.16945,1.16953,1.1692,1.16946
2025-07-11T15:30:00.000000000Z,1.16945,1.17024,1.16944,1.17004
2025-07-11T15:35:00.000000000Z,1.17005,1.17038,1.16998,1.17023
2025-07-11T15:40:00.000000000Z,1.17024,1.17042,1.1701,1.17014
2025-07-11T15:45:00.000000000Z,1.17015,1.17028,1.16988,1.17004
2025-07-11T15:50:00.000000000Z,1.17004,1.1701,1.16958,1.16974
2025-07-11T15:55:00.000000000Z,1.16974,1.16983,1.16948,1.16962
2025-07-11T16:00:00.000000000Z,1.16962,1.16978,1.16952,1.16959
2025-07-11T16:05:00.000000000Z,1.1696,1.1696,1.16916,1.16938
2025-07-11T16:10:00.000000000Z,1.16936,1.16937,1.1691,1.16934
2025-07-11T16:15:00.000000000Z,1.16934,1.16967,1.16908,1.16937
2025-07-11T16:20:00.000000000Z,1.16941,1.16982,1.16901,1.16924
